name,count,type,is_ambiguous
animification,2214,general,False
anis_(nikke),827,character,False
anis_(sparkling_summer)_(nikke),197,character,False
anis_(sparkling_summer)_(nikke)_(cosplay),2,general,False
anisphia_wynn_palettia,306,character,False
ankh,1590,general,False
ankh_necklace,198,general,False
ankha_(animal_crossing),1131,character,False
ankle_belt,64,general,False
ankle_boots,13308,general,False
ankle_bow,516,general,False
ankle_cuffs,3043,general,False
ankle_flower,109,general,False
ankle_garter,407,general,False
ankle_grab,1514,general,False
ankle_ribbon,3477,general,False
ankle_scrunchie,162,general,False
ankle_socks,2735,general,False
ankle_strap,1582,general,False
anklet,17664,general,False
ankoh,2,artist,False
anku,20,artist,False
anlu5620,2,general,False
ann,87,character,False
ann_(iron_saga),3,character,False
ann_(pokemon),27,character,False
anna_(frozen),1021,character,False
anna_williams,292,character,False
annabelle_(iron_saga),5,character,False
annette_fantine_dominic,779,character,False
annidrw,60,artist,False
annie_(league_of_legends),677,character,False
annie_(skullgirls),548,character,False
anniversary,8799,general,False
anno88888,232,artist,False
annoyed,11006,general,False
annytf,132,character,False
anonymous_(yu-gi-oh!),15,artist,False
anonymous_artist,18,artist,False
another_blood,83,character,False
another_eidos-r,265,copyright,False
anri_(user_ncce8585),8,general,False
ansel_(arknights),300,character,False
ansel_(casual_vacation)_(arknights),45,character,False
ant,466,general,False
antenna,106,general,False
antenna_grab,14,general,False
antenna_hair,56817,general,False
antennae,18175,general,False
anthro_porn,7,general,False
anti-tank_grenade,15,general,False
antimatter_weapon,9,general,False
antler_ornament,124,general,False
antlers,12246,general,False
anubimon,62,character,False
anus,211099,general,False
anus_focus,27,general,False
anus_peek,4961,general,False
anwen_(heroes_of_might_and_magic),1,general,False
anya_(spy_x_family),4912,character,False
anya_dostoyevskaya,14,character,False
anya_melfissa_(2nd_costume),9,character,False
anzai_miyako,94,character,False
anzumame,225,artist,False
ao-tombo,20,artist,False
ao_(flowerclasse),263,artist,False
ao_banana,764,artist,False
ao_no_kiseki,541,copyright,False
aoba_(kancolle),2573,character,False
aobahosino,11,general,False
aobayama_noboru,1,general,False
aoi_(blue_archive),201,character,False
aoi_ch.,102,copyright,False
aoi_ogata,351,artist,False
aoi_toori,183,character,False
aoi_yuu_(komeda_yuu),9,artist,False
aoiabyss,17,artist,False
aoiro_(t_aoiro123),87,artist,False
aoki_clair,102,character,False
aokuro2,6,artist,False
aoma_(xuanzexuexi),47,artist,False
aomoro,228,artist,False
aonuma_kiriha,235,character,False
aonuma_neiru,73,character,False
aorta_(kyouki_yori_ai_o_komete),14,general,False
aosaki_yukina,159,artist,False
aoyagi,6,artist,False
aoyagi_touya,625,character,False
aoyama_blue_mountain,263,character,False
aoyama_blue_mountain_(cosplay),3,general,False
aoyama_yuuga,100,character,False
aozaki_touko,374,character,False
ap_bar,34,general,False
ap_cammy,41,artist,False
apartment,765,general,False
apathynsfw,9,artist,False
apex_legends,5248,copyright,False
aphelios,95,character,False
aphex_twin,33,copyright,False
aphmau,64,character,False
apis,156,artist,False
apollo_justice,379,character,False
aponia_(honkai_impact),462,character,False
apple,16984,general,False
apple_caramel,582,artist,False
apple_earrings,26,general,False
apple_pie,270,general,False
apple_print,123,general,False
apple_slice,286,general,False
appleq,227,artist,False
applying_makeup,954,general,False
april_(arknights),119,character,False
april_o'neil,258,character,False
apron,161697,general,False
apron_hold,227,general,False
apron_removed,115,general,False
apu-chm,16,general,False
apukoma,4,general,False
aq_ll,32,artist,False
aqrisu,13,artist,False
aqua-framed_eyewear,203,general,False
aqua_(konosuba),5905,character,False
aqua_armband,5,general,False
aqua_background,7861,general,False
aqua_bag,30,general,False
aqua_belt,230,general,False
aqua_bikini,2843,general,False
aqua_bow,6707,general,False
aqua_bowtie,2677,general,False
aqua_bra,744,general,False
